fundo_municipal_PC,desp_orcament_PC ,receita_PC,fundo_municipal,desp_orcament,receita
397.42,863.24,1153.79,14769811,32081494,42879447
633.22,1176.02,1674.03,4923270,9143566,13015606
384.37,681.16,1026.82,11487631,20357718,30688495
609.90,1485.85,1724.09,8206827,19993655,23199325
147.68,707.77,1142.92,395143162,1893759057,3058053437
516.50,737.97,1081.15,9846541,14068569,20610979
607.08,886.30,1414.35,9142641,13347753,21300076
437.39,919.08,1473.08,11487631,24138684,38689104
1168.00,2072.05,2885.59,7794034,13826799,19255521
633.44,843.49,1283.78,6564361,8741048,13303796
387.99,643.50,1032.97,13128721,21774620,34953670
584.09,1036.18,1443.01,7794034,13826799,19255521
366.41,727.91,1106.43,14769811,29341349,44599214
464.15,736.65,1219.78,11487631,18231965,30189454
560.99,1049.54,1447.04,4923270,9210790,12699263
437.62,841.55,1186.49,11487631,22090675,31145309
680.39,851.68,1546.68,6564361,8216994,14922375
312.32,680.23,1014.86,18051992,39317107,58659050
252.52,628.26,1052.26,22975262,57162298,95739469
342.75,747.09,1022.56,16410901,35770497,48960150
415.33,1691.79,2858.64,11487631,46793159,79067164
538.44,953.37,1403.85,4967602,8795748,12951914
582.03,879.67,1810.59,8205451,12401645,25525730
503.09,975.43,1564.50,6564361,12727363,20413607
484.93,742.36,1164.94,9846541,15073532,23654152
395.65,7511.72,12863.92,13128721,249261457,426863428
534.35,1099.35,1277.15,9846541,20257683,23534109
394.46,621.00,1097.37,13128721,20668607,36523700
1363.79,2419.39,3369.30,7794034,13826799,19255521
644.83,1156.54,1425.92,6564361,11773576,14515842
630.34,1148.90,1491.77,6564361,11964646,15535306
350.39,1115.29,1467.36,14769811,47012884,61853559
593.70,1075.17,1387.35,9846541,17831655,23009187
517.30,1075.73,1325.06,9810035,20400090,25128346
585.17,1107.06,1467.61,6554467,12400161,16438688
554.19,957.83,1418.95,6564361,11345487,16807428
186.47,330.80,460.68,7794034,13826799,19255521
632.95,1168.31,1565.50,6564361,12116561,16235851
284.52,705.17,1088.69,21173409,52477693,81019400
414.97,934.43,1369.73,13128721,29563359,43335430
394.65,1078.87,1390.77,14769811,40376889,52049432
430.32,763.41,1063.14,7794034,13826799,19255521
532.79,904.50,1321.97,8205451,13930234,20359712
277.93,703.85,1010.84,21334172,54028667,77594406
531.79,907.46,1190.44,6564361,11201706,14694828
236.33,1122.10,1655.28,27898532,132460093,195400841
544.76,1144.19,1549.00,6564361,13787542,18665398
618.97,1098.06,1529.19,7794034,13826799,19255521
447.57,943.93,1482.03,9846541,20766391,32604637
619.32,1234.83,1377.53,9846541,19632609,21901425
574.26,827.28,1430.17,6564361,9456595,16348257
492.01,913.52,1235.12,9846541,18282351,24718365
508.77,921.52,1287.47,8205451,14862240,20764330
620.33,893.57,1215.97,4967602,7155729,9737502
529.93,1018.22,1401.35,9935203,19089511,26272541
591.93,1388.84,1401.59,9776237,22938144,23148693
207.02,708.61,1048.31,28638941,98029291,145024175
987.21,1751.34,2438.95,7794034,13826799,19255521
462.49,881.31,1312.26,9935203,18932375,28190039
525.35,931.98,1297.89,7794034,13826799,19255521
512.72,991.40,1303.81,6564361,12692842,16692635
583.43,868.64,1391.28,9935203,14792125,23692046
148.69,263.78,367.35,7794034,13826799,19255521
477.12,908.37,1225.66,11591070,22067904,29776238
498.56,1012.85,1221.25,9846541,20003803,24119648
376.69,668.25,930.62,7794034,13826799,19255521
459.43,656.92,930.87,11487631,16425561,23275512
602.23,883.37,1228.56,8205451,12035942,16739166
458.47,813.34,1132.68,7794034,13826799,19255521
476.47,879.75,1346.68,11487631,21210863,32468385
498.33,846.69,1181.33,8205451,13941536,19451771
496.37,1099.77,1316.28,9846541,21816232,26110982
541.82,807.08,1321.02,9846541,14667004,24006853
259.10,680.35,981.99,22975262,60328426,87075830
384.14,794.65,1082.57,9434595,19516686,26587825
595.20,955.53,1323.59,8205451,13173001,18246967
568.44,876.78,1300.69,4923270,7593751,11265242
627.66,954.97,1606.96,8205451,12484366,21007788
540.48,870.74,1282.03,4923270,7931610,11678012
393.16,965.57,1534.02,14769811,36273603,57628665
726.77,1496.22,1770.24,4942041,10174309,12037648
172.95,660.39,1078.17,53072901,202649748,330854404
548.07,1160.25,1165.19,4923270,10422528,10466899
525.78,701.88,1376.15,6564361,8762925,17181269
517.72,1267.88,1766.12,11487631,28133053,39188472
360.39,833.20,1240.88,16410901,37940435,56504849
620.84,835.82,1480.55,6516360,8772791,15539848
531.06,858.77,1160.13,8145450,13171738,17794059
311.38,760.54,1120.51,17920058,43769662,64486636
318.43,680.18,1036.87,16290901,34798138,53046059
502.71,794.85,1334.58,8145450,12878878,21624237
604.99,1203.85,1483.45,6516360,12966635,15978237
712.85,1195.52,1972.12,4887270,8196453,13520833
597.50,1496.11,1403.80,9774540,24474897,22964747
358.08,1042.92,1286.56,14048215,40915859,50474503
707.10,1088.65,1731.51,4938404,7603108,12092864
584.95,1121.44,1379.59,8145450,15616073,19210729
287.13,937.01,1347.14,20853348,68053478,97840395
282.67,841.05,1155.27,19549081,58166337,79897062
449.12,1004.84,1416.33,11403631,25513988,35962041
621.14,1062.85,1519.36,6516360,11150407,15939572
472.54,1401.22,1464.93,9774540,28984333,30302084
565.21,1232.37,1621.04,6516360,14207941,18689027
1018.83,1807.42,2517.06,7794034,13826799,19255521
435.49,862.00,1232.56,9774540,19347687,27664765
464.19,678.53,1334.16,11403361,16668856,32774891
811.03,1163.42,1868.67,4887270,7010781,11260579
564.51,1118.57,1474.54,9774540,19368033,25531608
323.92,1390.47,1750.40,17919991,76924742,96837366
499.39,849.70,1242.29,9774540,16631173,24315329
454.33,712.32,1238.22,9774540,15324871,26639167
562.69,1023.89,1592.96,8145450,14821788,23059735
