Sigla,Codigo,Municipio,pop,fundo_municipal,desp_orcament,receita,superavit,fundo_municipal_PC,desp_orcament_PC ,receita_PC,,
AL,2706448,Paripueira,11.347,6.664.148,9.161.409,13.688.163,4.526.754,587.30,807.39,1206.32,,
AL,2706505,Passo de Camaragibe,14.763,8.330.185,15.601.921,21.269.066,5.667.145,564.26,1056.83,1440.70,,
AL,2706604,Paulo Jacinto,7.426,4.998.111,8.074.016,12.849.969,4.775.953,673.06,1087.26,1730.40,,
AL,2706703,Penedo,60.378,18.326.408,53.402.152,79.531.030,26.128.878,303.53,884.46,1317.22,,
AL,2706802,Piaçabuçu,17.203,9.996.223,17.861.174,22.694.218,4.833.044,581.07,1038.26,1319.20,,
AL,2706901,Pilar,33.305,13.269.382,44.380.686,73.403.647,29.022.961,398.42,1332.55,2203.98,,
AL,2707008,Pindoba,2.866,4.998.111,7.315.627,8.435.435,1.119.808,1743.93,2552.56,2943.28,,
AL,2707107,Piranhas,23.045,11.662.260,35.367.172,53.602.926,18.235.754,506.06,1534.70,2326.01,,
AL,2707206,Poço das Trincheiras,13.872,6.663.148,13.460.984,18.043.329,4.582.345,480.33,970.37,1300.70,,
AL,2707305,Porto Calvo,25.708,11.662.260,24.438.894,36.347.135,11.908.241,453.64,950.63,1413.85,,
AL,2707404,Porto de Pedras,8.429,6.664.148,26.889.947,15.999.217,-10.890.730,790.62,3190.17,1898.12,,
AL,2707503,Porto Real do Colégio,19.334,9.996.222,16.480.535,22.018.419,5.537.884,517.03,852.41,1138.84,,
AL,2707602,Quebrangulo,11.480,6.664.148,12.519.946,19.822.142,7.302.196,580.50,1090.59,1726.67,,
AL,2707701,Rio Largo,68.481,19.992.445,50.506.122,75.704.750,25.198.628,291.94,737.52,1105.49,,
AL,2707800,Roteiro,6.656,4.941.550,8.981.637,14.136.780,5.155.143,742.42,1349.40,2123.92,,
AL,2707909,Santa Luzia do Norte,6.891,4.998.111,9.679.199,12.525.073,2.845.874,725.31,1404.61,1817.60,,
AL,2708006,Santana do Ipanema,44.932,14.994.334,29.078.798,55.902.925,26.824.127,333.71,647.17,1244.17,,
AL,2708105,Santana do Mundaú,10.961,7.794.034,13.826.799,19.255.521,5.428.722,711.07,1261.45,1756.73,,
AL,2708204,São Brás,6.718,4.998.111,6.786.425,11.478.747,4.692.322,743.99,1010.19,1708.66,,
AL,2708303,São José da Laje,22.686,9.996.233,24.097.962,32.802.929,8.704.967,440.63,1062.24,1445.95,,
AL,2708402,São José da Tapera,30.088,13.339.956,33.117.987,44.454.304,11.336.317,443.36,1100.70,1477.48,,
AL,2708501,São Luís do Quitunde,32.412,7.794.034,13.826.799,19.255.521,5.428.722,240.47,426.60,594.09,,
AL,2708600,São Miguel dos Campos,54.577,19.129.941,62.567.037,93.233.042,30.666.005,350.51,1146.40,1708.28,,
AL,2708709,São Miguel dos Milagres,7.163,4.998.111,9.590.211,12.107.082,2.516.871,697.77,1338.85,1690.23,,
AL,2708808,São Sebastião,32.010,13.328.297,26.333.750,41.834.947,15.501.197,416.38,822.67,1306.93,,
AL,2708907,Satuba,14.603,8.330.185,16.203.804,23.181.783,6.977.979,570.44,1109.62,1587.47,,
AL,2708956,Senador Rui Palmeira,13.047,6.664.148,13.008.385,17.589.747,4.581.362,510.78,997.04,1348.18,,
AL,2709004,Tanque d'Arca,6.122,5.044.088,8.236.025,10.578.153,2.342.128,823.93,1345.32,1727.89,,
AL,2709103,Taquarana,19.020,9.996.223,16.834.654,26.701.898,9.867.244,525.56,885.10,1403.89,,
AL,2709152,Teotônio Vilela,41.152,14.996.390,46.156.445,52.215.352,6.058.907,364.41,1121.61,1268.84,,
AL,2709202,Traipu,25.702,11.662.260,22.766.957,34.432.057,11.665.100,453.75,885.80,1339.66,,
AL,2709301,União dos Palmares,62.358,19.992.445,55.166.937,76.195.568,21.028.631,320.61,884.68,1221.91,,
AL,2709400,Viçosa,25.407,11.662.260,21.829.957,35.351.314,13.521.357,459.02,859.21,1391.40,,
BA,2900108,Abaíra,8.316,4.923.270,7.459.047,11.604.519,4.145.472,592.02,896.95,1395.44,,
BA,2900207,Abaré,17.064,9.799.263,17.921.683,21.564.796,3.643.113,574.27,1050.26,1263.76,,
BA,2900306,Acajutiba,14.653,7.794.034,13.826.799,19.255.521,5.428.722,531.91,943.62,1314.10,,
BA,2900355,Adustina,15.702,8.205.451,12.289.108,19.407.789,7.118.681,522.57,782.65,1236.01,,
BA,2900405,Água Fria,15.731,8.205.451,15.555.865,22.556.816,7.000.951,521.61,988.87,1433.91,,
BA,2900504,Érico Cardoso,10.859,6.564.361,9.668.771,14.474.755,4.805.984,604.51,890.39,1332.97,,
BA,2900603,Aiquara,4.602,4.767.976,6.819.895,9.446.017,2.626.122,1036.07,1481.94,2052.59,,
BA,2900702,Alagoinhas,141.949,29.539.623,105.805.838,150.101.427,44.295.589,208.10,745.38,1057.43,,
BA,2900801,Alcobaça,21.271,9.846.541,30.874.530,38.634.404,7.759.874,462.91,1451.48,1816.29,,
BA,2900900,Almadina,6.357,7.794.034,13.826.799,19.255.521,5.428.722,1226.06,2175.05,3029.03,,
BA,2901007,Amargosa,34.351,13.129.905,23.334.102,34.927.895,11.593.793,382.23,679.28,1016.79,,
BA,2901106,Amélia Rodrigues,25.190,11.487.631,16.976.134,26.541.232,9.565.098,456.04,673.92,1053.64,,
BA,2901155,América Dourada,15.961,8.205.451,13.264.732,21.019.551,7.754.819,514.09,831.07,1316.93,,
BA,2901205,Anagé,25.516,11.487.631,15.614.130,28.121.638,12.507.508,450.21,611.93,1102.12,,
BA,2901304,Andaraí,13.960,8.279.336,15.557.290,19.257.316,3.700.026,593.08,1114.42,1379.46,,
BA,2901353,Andorinha,14.414,8.239.193,18.264.154,22.547.365,4.283.211,571.61,1267.11,1564.27,,
BA,2901403,Angical,14.073,8.205.451,12.688.845,20.493.988,7.805.143,583.06,901.64,1456.26,,
BA,2901502,Anguera,10.242,4.923.270,7.098.929,10.794.375,3.695.446,480.69,693.12,1053.93,,
BA,2901601,Antas,17.072,9.846.541,12.383.472,18.999.663,6.616.191,576.77,725.37,1112.91,,
BA,2901700,Antônio Cardoso,11.554,6.564.361,10.487.057,15.672.345,5.185.288,568.15,907.66,1356.44,,
BA,2901809,Antônio Gonçalves,11.015,6.564.361,7.454.873,16.779.567,9.324.694,595.95,676.79,1523.34,,
BA,2901908,Aporá,17.731,9.846.541,13.250.943,21.634.819,8.383.876,555.33,747.33,1220.17,,
BA,2901957,Apuarema,7.459,4.923.270,9.161.937,12.080.895,2.918.958,660.04,1228.31,1619.64,,
BA,2902005,Aracatu,13.743,8.205.451,12.175.691,19.520.899,7.345.208,597.06,885.96,1420.42,,
BA,2902054,Araças,11.561,6.564.361,14.323.964,26.189.071,11.865.107,567.80,1238.99,2265.29,,
BA,2902104,Araci,51.651,18.051.992,47.069.803,64.322.499,17.252.696,349.50,911.30,1245.33,,
BA,2902203,Aramari,10.036,7.794.034,13.826.799,19.255.521,5.428.722,776.61,1377.72,1918.64,,
BA,2902252,Arataca,10.392,7.794.034,13.826.799,19.255.521,5.428.722,750.00,1330.52,1852.92,,
BA,2902302,Aratuípe,8.599,4.930.009,8.387.902,12.046.981,3.659.079,573.32,975.45,1400.97,,
BA,2902401,Aurelino Leal,13.595,7.794.034,13.826.799,19.255.521,5.428.722,573.30,1017.05,1416.37,,
BA,2902500,Baianópolis,13.850,8.205.451,10.260.199,19.482.666,9.222.467,592.45,740.81,1406.69,,
BA,2902609,Baixa Grande,20.060,9.846.541,14.951.865,23.351.039,8.399.174,490.85,745.36,1164.06,,
BA,2902658,Banzaê,11.814,6.623.469,12.335.008,16.884.761,4.549.753,560.65,1044.10,1429.22,,
BA,2902708,Barra,49.325,16.410.901,40.565.981,59.027.478,18.461.497,332.71,822.42,1196.71,,
BA,2902807,Barra da Estiva,21.187,9.434.595,16.137.319,25.270.590,9.133.271,445.30,761.66,1192.74,,
BA,2902906,Barra do Choça,34.788,13.128.721,36.257.173,46.445.993,10.188.820,377.39,1042.23,1335.12,,
BA,2903003,Barra do Mendes,13.987,8.207.417,9.686.232,18.311.376,8.625.144,586.79,692.52,1309.17,,
BA,2903102,Barra do Rocha,6.313,7.794.034,13.826.799,19.255.521,5.428.722,1234.60,2190.21,3050.14,,
BA,2903201,Barreiras,137.427,41.748.916,115.454.551,191.957.622,76.503.071,303.79,840.12,1396.80,,
BA,2903235,Barro Alto,13.612,8.219.815,13.657.755,18.858.113,5.200.358,603.87,1003.36,1385.40,,
BA,2903276,Barrocas,14.191,8.205.451,20.726.720,25.423.896,4.697.176,578.22,1460.55,1791.55,,
BA,2903300,Governador Lomanto Júnior,6.453,7.794.034,13.826.799,19.255.521,5.428.722,1207.82,2142.69,2983.96,,
BA,2903409,Belmonte,21.798,9.846.541,24.250.222,34.091.931,9.841.709,451.72,1112.50,1563.99,,
BA,2903508,Belo Campo,16.021,8.205.451,12.824.819,21.818.139,8.993.320,512.17,800.50,1361.85,,
BA,2903607,Biritinga,14.836,8.205.451,14.183.270,20.943.193,6.759.923,553.08,956.00,1411.65,,
BA,2903706,Boa Nova,15.411,7.794.034,13.826.799,19.255.521,5.428.722,505.74,897.20,1249.47,,
BA,2903805,Boa Vista do Tupim,17.991,9.935.203,17.935.140,26.559.408,8.624.268,552.23,996.90,1476.26,,
BA,2903904,Bom Jesus da Lapa,63.480,19.693.082,66.034.530,77.174.572,11.140.042,310.22,1040.24,1215.73,,
